Gene	0	1	2	3
1	0.000246805	0.000154719	2.10018E-05	9.94374E-07
2	0.000246805	9.41028E-05	1.98617E-05	7.65728E-06
3	0.000317288	0.000354183	0.000403508	0.000416282
4	0.000317288	0.000300203	0.000414571	0.000334379
5	0.000313662	0.000312725	0.000402885	0.000394412
6	0.000313662	0.000299129	0.000354749	0.000336338
7	0.000387725	0.000351611	0.000314594	0.00023506
8	0.000387725	0.000376625	0.000246158	0.000202988
9	0.000284539	0.000330364	0.000706861	0.001650257
10	0.000284539	0.000577271	0.000554481	0.00054684
11	0.000308944	0.000246225	3.72671E-05	2.24698E-06
12	0.000308944	0.000226084	3.72211E-05	1.34367E-05
13	8.80109E-05	8.11063E-05	2.42978E-05	2.85828E-06
14	8.80109E-05	5.27535E-05	1.09375E-05	5.17801E-06
15	0.000634428	0.000289345	8.44893E-06	2.64542E-06
16	0.000634428	0.000418615	4.54815E-06	1.51816E-06
17	0.00045013	0.00038219	0.000498293	0.0005692
18	0.00045013	0.000565995	0.000281915	0.000186238
19	0.000363044	0.000343575	0.000400058	0.000331134
20	0.000363044	0.000502664	0.000381791	0.000320824
21	0.000184199	2.92981E-05	2.2039E-07	2.95175E-07
22	0.000184199	0.000132951	0	4.74522E-07
23	0.000186356	0.000187325	0.000218882	0.000166728
24	0.000186356	0.000221848	0.000282895	0.000302754
25	0.000273989	0.000279553	0.000331567	0.000272001
26	0.000273989	0.000301467	0.000347547	0.000314851
27	6.82354E-05	6.28333E-05	3.78075E-05	1.3759E-05
28	6.82354E-05	6.59556E-05	4.64364E-05	4.03078E-05
29	0.000256163	0.000174202	3.56899E-05	2.6716E-06
30	0.000256163	0.000303855	1.8535E-05	3.10231E-06
31	8.39653E-05	7.60617E-05	0	0
32	8.39653E-05	4.39384E-05	7.1937E-07	2.98641E-07
33	0.000330476	0.000360971	0.000478021	0.000425438
34	0.000330476	0.000465334	0.000255582	0.000142981
35	0.000303456	0.000201591	7.03609E-05	1.36085E-05
36	0.000303456	0.000218159	2.56711E-05	1.41462E-05
37	0.000200481	0.000254739	0.000227239	0.000120077
38	0.000200481	0.000271598	0.000201055	0.000239454
39	0.000266076	0.000119424	0	0
40	0.000266076	0.000266472	0	0
41	0.000377986	0.000469774	0.000598456	0.000518976
42	0.000377986	0.000267795	0.000585051	0.000618829
43	0.000346875	0.000380083	0.000477768	0.000418476
44	0.000346875	0.000476583	0.000602722	0.000623871
45	0.00024308	0.000274004	0.000325868	0.000294289
46	0.00024308	0.000249055	0.000353147	0.000342129
47	0.000303915	0.000312042	0.00034536	0.000319213
48	0.000303915	0.000247622	0.000416106	0.000444483
49	0.000387073	0.000359958	0.00062394	0.001053677
50	0.000387073	0.000478122	0.00027231	9.52186E-05
51	0.00056622	0.000533396	0.000868908	0.001383331
52	0.00056622	0.000447811	0.000511971	0.000271479
53	0.000406903	0.000430437	0.000665966	0.000971035
54	0.000406903	0.000440019	0.000527129	0.00033266
55	0.000422228	0.000386915	0.000524894	0.000518873
56	0.000422228	0.000369095	0.000460203	0.000504026
57	0.000166476	0.000188293	0.000229533	0.000226277
58	0.000166476	0.000202975	0.000260556	0.000271526
59	0.000268761	0.00032212	9.5779E-05	1.80632E-05
60	0.000268761	0.000204888	2.77327E-05	3.08577E-06
61	0.000151641	0.000106477	8.12346E-05	3.91093E-05
62	0.000151641	9.53193E-05	0.000184572	7.33146E-05
63	0.000309101	0.00030681	0.000352494	0.000284719
64	0.000309101	0.000359691	0.00031941	0.000294614
65	0.000183611	0.000215657	0.000252674	0.000193404
66	0.000183611	0.000223611	0.000233323	0.000178736
67	0.000290337	0.000288626	0.00019527	0.000107671
68	0.000290337	0.000201919	4.70209E-05	1.48832E-05
69	0.000196876	0.000245063	0.000298202	0.000292603
70	0.000196876	0.000210763	0.000263701	0.000253951
71	0.000361442	0.000353612	0.000520516	0.000679609
72	0.000361442	0.000388015	0.000333566	0.000184221
73	0.000257029	0.000241921	0.000239826	0.00018426
74	0.000257029	0.000218887	0.000250457	0.000200693
75	0.000245464	0.000249623	0.000343797	0.000393179
76	0.000245464	0.000195446	0.000185017	0.000102173
77	0.000218223	0.000230524	0.00035368	0.000507485
78	0.000218223	0.000234226	0.000326159	0.000310329
79	0.000205867	0.000201076	0.000232619	0.000206687
80	0.000205867	0.000169255	0.000350861	0.000450269
81	0.000199421	0.000208079	0.00020418	0.000147115
