Gene	logFC	logCPM	PValue	FDR
YAL002W	2.885795449	2.291305465	0.024643281	0.049310558
YAL004W	-0.315657711	8.553918721	0.077699041	0.134041365
YAL005C	-0.229248818	8.515047563	0.116903679	0.187043517
YAL007C	-0.212466578	7.778041873	0.186632086	0.274047114
YAL008W	-1.593290001	10.10195831	1.75E-34	7.40E-33
YAL009W	2.546815543	3.067438715	0.016489615	0.034755035
YAL011W	0.844352508	2.200878144	0.457816	0.564053589
YAL013W	-0.788373607	1.255448711	0.706746846	0.800421476
YAL014C	-1.611081652	8.562837944	4.34E-23	8.15E-22
YAL015C	-0.044873254	8.350656072	0.754312004	0.839486146
YAL016W	0.556601195	-0.172231957	0.852619278	0.924364345
YAL017W	0.858129638	7.878131884	2.52E-08	1.35E-07
YAL018C	0.21095912	8.199411294	0.285281391	0.387093601
YAL019W	1.536220352	4.784865511	2.66E-07	1.27E-06
YAL020C	0.2101364	1.754840958	0.873318589	0.94109508
YAL021C_1	3.474878986	-0.642196621	0.132589239	0.206882909
YAL022C	-1.572599803	8.152940456	7.94E-08	4.01E-07
YAL023C	0.052053475	3.834782433	0.941658567	0.995207317
YAL024C	0.993546585	7.493656128	0.000226642	0.000718195
YAL026C	0	-1.062674125	1	1
YAL027W	0.253468509	9.153249115	0.045779548	0.084677742
YAL028W	0.576065213	9.026920581	6.87E-06	2.77E-05
YAL029C	0.218292247	8.315973357	0.0723096	0.12587567
YAL030W	0.477969319	8.578473792	0.00316235	0.008042857
YAL031C	-3.465773135	9.167008717	5.57E-29	1.59E-27
YAL034C	-2.348301719	9.69315981	4.09E-38	2.27E-36
YAL036C	-1.544620434	9.349215739	1.11E-11	8.25E-11
YAL037C-A	-0.041360609	8.999737989	0.754951611	0.839970525
YAL037W	0.264851713	7.962188179	0.060776603	0.107948073
YAL039C	-2.532094585	3.458325596	0.004755805	0.011538583
YAL040C	0.905490461	5.828531567	0.051452331	0.093694764
YAL042W	0.04924898	8.180557529	0.860740769	0.930643037
YAL043C-A	-0.113331754	7.54376549	0.655137331	0.752757738
YAL044C	-2.851341653	5.947044999	4.55E-09	2.65E-08
YAL044W-A	-0.203400861	8.096709897	0.245166582	0.342732875
YAL045C	-1.882799596	8.756112591	2.53E-46	2.36E-44
YAL046C	0.12364057	7.592253355	0.457830358	0.564053589
YAL048C	-1.944160902	7.95527339	8.61E-08	4.32E-07
YAL049C_1	-0.709514539	8.677304414	1.79E-05	6.82E-05
YAL051W	1.121016704	8.361875768	4.51E-13	3.76E-12
YAL053W	1.031901746	7.811382959	4.02E-08	2.12E-07
YAL055W	-0.997927214	4.476222344	0.039728118	0.074934632
YAL056W	-1.372292521	7.784795274	1.09E-09	6.73E-09
YAL058C-A	1.590512906	4.028907016	0.000228085	0.000722209
YAL058W	1.679556993	5.589804121	7.59E-09	4.32E-08
YAL059W	2.151295996	7.383342113	4.35E-21	6.95E-20
YAL060W	0.169629872	8.955195256	0.367973049	0.476192906
YAL061W	0.225151676	8.584475614	0.127459814	0.201097826
YAL062W	0.129880874	8.951608667	0.409866743	0.518802684
YAL064C-A	0.914202448	7.981436127	2.62E-08	1.40E-07
YAL065C	-2.323199513	8.910104963	7.91E-11	5.37E-10
YAL066W	-0.048093989	7.833360847	0.707410092	0.800731335
YAL067C	0.723511875	8.477241321	6.92E-07	3.14E-06
YAL068C	0.218632455	8.489728832	0.163209052	0.245081916
YAR002W	6.935650102	1.201267679	1.40E-08	7.76E-08
YAR003W	3.717984013	5.217835724	1.58E-17	1.87E-16
YAR014C	2.860760742	7.061383331	1.20E-38	7.14E-37
YAR018C	3.70355674	7.077755203	7.34E-35	3.18E-33
YAR020C	-0.558475267	7.820873784	0.008820597	0.019940954
YAR023C	-0.264760974	5.067733654	0.601995794	0.704901058
YAR027W	0.5326011	7.564327919	0.041788623	0.078104248
YAR028W	0.704771871	9.18478317	3.06E-10	2.00E-09
