Sample	Strain	Frequency
initial_1	273614N	0.01982644
initial_1	CLIB154 	0.043663591
initial_1	CLIB294	0.035146275
initial_1	CLIB413 	0.08946026
initial_1	CLIB483 	0.010119267
initial_1	DBVPG1106	0.014607302
initial_1	DBVPG1399 	0.015694315
initial_1	DBVPG1853	0.012174021
initial_1	DBVPG3591 	0.018913692
initial_1	DBVPG4651	0.009992377
initial_1	DBVPG6040	0.014636584
initial_1	DBVPG6765	0.010841323
initial_1	EM93	0.031072239
initial_1	I14 	0.01663944
initial_1	K12 	0.02031162
initial_1	L-1374	0.019008918
initial_1	L-1528	0.094422048
initial_1	M22 	0.014066652
initial_1	NCYC361	0.019005824
initial_1	S288c	0.018004515
initial_1	SSP81	0.026148065
initial_1	T73 	0.025127711
initial_1	UWOPS03-461.4	0.054297082
initial_1	UWOPS05-217.3	0.032698711
initial_1	UWOPS83-787.3	0.008775142
initial_1	UWOPS87-2421	0.033133183
initial_1	WE372 	0.023295311
initial_1	Y55	0.016041892
initial_1	Y9J 	0.00412665
initial_1	YIIc17_E5	0.009872153
initial_1	YJM145 	0.022318047
initial_1	YJM269 	0.010744192
initial_1	YJM320 	0.01723294
initial_1	YJM326 	0.021387206
initial_1	YJM413 	0.017801682
initial_1	YJM421 	0.009863345
initial_1	YJM434 	0.046691324
initial_1	YJM436 	0.006516602
initial_1	YJM454 	0.020188777
initial_1	YJM975	0.013013207
initial_1	YJM978	0.015630989
initial_1	YPS128	0.018513501
initial_1	YPS606	0.018975589
initial_2	273614N	0.020476335
initial_2	CLIB154 	0.049357774
initial_2	CLIB294	0.037234943
initial_2	CLIB413 	0.087654825
initial_2	CLIB483 	0.011671978
initial_2	DBVPG1106	0.015026875
initial_2	DBVPG1399 	0.017091786
initial_2	DBVPG1853	0.012209219
initial_2	DBVPG3591 	0.01724962
initial_2	DBVPG4651	0.010149678
initial_2	DBVPG6040	0.01449407
initial_2	DBVPG6765	0.010518812
initial_2	EM93	0.029776607
initial_2	I14 	0.016531197
initial_2	K12 	0.019858076
initial_2	L-1374	0.017999562
initial_2	L-1528	0.09325348
initial_2	M22 	0.013072167
initial_2	NCYC361	0.017877919
initial_2	S288c	0.018663584
initial_2	SSP81	0.028840696
initial_2	T73 	0.023687874
initial_2	UWOPS03-461.4	0.05530992
initial_2	UWOPS05-217.3	0.033853429
initial_2	UWOPS83-787.3	0.007748086
